"employee_id";"first_name";"last_name";"phone_number";"hire_date";"job_id";"salary";"commission_pct";"manager_id";"department_id"
1;"Aman";"Sharma";"715.234.4577";"16-06-1977";"AD_VP";34000;"";20;50
2;"Gopi";"Kumar";"715.134.8765";"27-09-1979";"AD_PRES";29000;"";60;50
3;"Laxman";"Dubey";"915.173.8969";"23-01-1983";"AD_VP";28000;"";20;50
4;"Abhishek";"Sharma";"901.765.7869";"30-01-1996";"FI_MGR";15000;"";80;70
5;"Bhuvan";"Bhosle";"999.673.9878";"01-05-1982";"FI_MGR";13000;"";80;70
6;"Danny";"Devgan";"902.876.9498";"12-06-1987";"FI_MGR";11000;"";80;70
7;"Velur";"Patel";"987.654.9765";"27-02-1992";"FI_MGR";16000;"";80;70
8;"Akshay";"Upadhyay";"922.354.9786";"18-03-1981";"FI_MGR";13500;"";80;70
9;"Nitin";"Gautam";"782.144.9865";"12-09-1987";"IT_PROG";4700;"";40;10
10;"Abhishek";"Fandnavis";"782.098.7480";"10-11-1999";"IT_PROG";5700;"";40;10
11;"Jack";"Carle";"678.986.7456";"09-12-1999";"IT_PROG";9300;"";40;10
12;"Ishan";"Malik";"895.785.9724";"15-09-1987";"IT_PROG";9100;"";40;10
13;"Usmaan";"Sheikh";"762.952.7693";"29-04-1998";"IT_PROG";7700;"";40;10
14;"Lohan";"Kumar";"667.984.1098";"18-12-1992";"IT_PROG";8500;"";40;10
15;"Abhyuday";"Sahu";"624.960.2867";"11-11-1998";"FI_ACCOUNT";19000;"";111;99
16;"Gaurav";"Sharma";"748.539.9750";"14-04-1996";"FI_ACCOUNT";16000;"";111;99
17;"Sheikh";"Hamza";"867.567.9723";"30-11-1989";"FI_ACCOUNT";11000;"";111;99
18;"Hussain";"Malik";"978.149.9758";"12-06-1982";"FI_ACCOUNT";13200;"";111;99
19;"Gustav";"Khan";"978.213.9784";"11-01-1993";"FI_ACCOUNT";14600;"";111;99
20;"Karan";"Malhotra";"764.859.2547";"15-08-1989";"FI_ACCOUNT";11200;"";111;99
21;"Manish";"Juneja";"761.398.6745";"23-06-1992";"PU_CLERK";3500;"";121;77
22;"Udham";"Singh";"756.867.9784";"29-05-1993";"PU_CLERK";4500;"";121;77
23;"Payal";"Meena";"876.087.2756";"17-05-1985";"PU_CLERK";6300;"";121;77
24;"Aradhna";"Singh";"340.867.8724";"12-11-1987";"PU_CLERK";7600;"";121;77
25;"Kamini";"Beniwal";"879.378.6502";"11-01-1989";"PU_CLERK";8100;"";121;77
26;"Jagriti";"Bahal";"873.973.1856";"19-06-1999";"PU_CLERK";7900;"";121;77
27;"Sang";"Wuu";"687.452.2769";"19-11-1982";"ST_CLERK";4000;"";177;22
28;"Jamie";"Lannister";"756.769.1845";"21-01-1998";"ST_CLERK";3400;"";177;22
29;"Nina";"Dobrev";"654.182.7684";"09-04-1996";"ST_CLERK";4300;"";177;22
30;"Leslie";"Winkle";"879.435.9785";"21-04-1976";"ST_CLERK";2700;"";177;22
31;"Mohammad";"Salman";"768.435.9784";"10-10-1986";"ST_CLERK";5600;"";177;22
32;"Aakash";"Mishra";"657.269.8745";"19-06-1999";"ST_CLERK";3900;"";177;22
33;"Niti";"Palta";"568.189.6578";"28-04-2000";"ST_CLERK";4100;"";177;22
34;"Shina";"Wilson";"867.190.0076";"18-04-1999";"ST_CLERK";4800;"";177;22
35;"Mitchell";"Robert";"875.436.0002";"02-10-1978";"ST_CLERK";7800;"";177;22
36;"Lee";"San";"645.187.9754";"11-09-1998";"ST_CLERK";4500;"";177;22
37;"Sania";"Keech";"431.896.7665";"28-02-1993";"ST_CLERK";3300;"";177;22
38;"Rachel";"Downey";"759.124.8479";"23-05-1990";"ST_CLERK";5300;"";177;22
39;"Rose";"Khan";"786.772.9875";"11-01-1989";"ST_CLERK";4700;"";177;22
40;"Shalini";"Kumar";"991.867.9549";"21-03-1978";"ST_CLERK";3100;"";177;22
41;"Sneha";"Ghosh";"867.823.8963";"11-02-1988";"ST_CLERK";4400;"";177;22
42;"Troy";"Sharma";"768.766.8877";"11-11-1978";"ST_CLERK";2400;"";177;22
43;"Candy";"Hussain";"973.065.1365";"12-04-1962";"ST_CLERK";6200;"";177;22
44;"Rishabh";"Pant";"789.232.9867";"01-04-1979";"ST_CLERK";3200;"";177;22
45;"Purv";"Vyas";"476.978.2001";"11-06-1991";"ST_CLERK";4300;"";177;22
46;"Jamilla";"Pattinson";"011.27.8765.980768";"10-09-1975";"ST_MAN";8000;"0.15";1;55
47;"Kevin";"Peter";"011.22.8675.967869";"10-04-1993";"ST_MAN";9500;"0.25";1;55
48;"Alpin";"Liebo";"011.22.9844.010135";"16-04-1987";"ST_MAN";8900;"0.35";1;55
49;"Hardik";"Patel";"011.88.6460.927543";"19-11-1972";"ST_MAN";10000;"0.45";1;55
50;"Elena";"Koshka";"011.56.9876.996622";"31-03-1997";"ST_MAN";14300;"0.55";1;55
51;"Ajay";"Mishra";"011.77.9897.979977";"11-04-1999";"SA_MAN";19000;"0.22";7;45
52;"Kapil";"Sharma";"011.33.9786.008866";"18-10-1991";"SA_MAN";17300;"0.42";7;45
53;"Samuel";"Gill";"011.99.8833.866740";"19-09-1992";"SA_MAN";11200;"0.52";7;45
54;"Chameli";"Singh";"011.68.7654.967486";"30-04-1988";"SA_MAN";10300;"0.23";7;45
55;"Nancy";"Bisht";"011.32.8674.968745";"18-04-1976";"SA_MAN";18700;"0.43";7;45
56;"Ujjwal";"Seth";"011.99.7689.987859";"13-08-1995";"SA_MAN";13200;"0.23";7;45
57;"Jasleen";"Kaur";"011.66.7689.756365";"10-04-1999";"SA_MAN";12100;"0.52";7;45
58;"Yasmeen";"Nair";"011.88.8765.867429";"18-05-1987";"SA_MAN";7600;"0.48";7;45
59;"Esha";"Chopra";"011.86.8974.978465";"10-02-1978";"SA_MAN";18200;"0.51";7;45
60;"Lovely";"Pandey";"011.88.8765.978537";"16-05-1998";"SA_MAN";6000;"0.41";7;45
61;"Rauf";"Ali";"011.77.8858.867689";"08-01-1988";"SA_MAN";9900;"0.51";7;45
62;"Sameer";"Prem";"011.55.8767.877568";"11-01-1989";"SA_MAN";14200;"0.63";7;45
63;"Claire";"Jacobs";"011.55.9787.864595";"17-02-1999";"SA_MAN";15100;"0.37";7;45
64;"Danish";"Sidiqqui";"011.55.8774.876435";"26-01-1974";"SA_MAN";11200;"0.17";7;45
65;"Manish";"Sehgal";"011.78.7654.678945";"13-05-1994";"SA_MAN";14300;"0.19";7;45
66;"Daksh";"Singh";"011.88.8674.8667403";"25-12-1999";"SA_MAN";7600;"0.13";7;45
67;"Saksham";"Khera";"011.55.7678.768545";"28-05-1985";"SA_MAN";7900;"0.18";7;45
68;"Daisy";"Modi";"011.55.8675.9667453";"29-04-1979";"SA_MAN";4500;"0.35";7;45
69;"Lavnya";"Thakur";"011.55.6745.867549";"18-04-1986";"SA_MAN";13200;"0.32";7;45
70;"Samarth";"Taneja";"011.55.8674.879543";"13-05-1992";"SA_MAN";12000;"0.25";7;45
71;"Tarun";"Rana";"011.76.6785.876453";"15-04-1996";"SA_MAN";16500;"0.31";7;45
72;"Vikas";"Dubey";"011.56.6574.765434";"16-02-1985";"SA_MAN";7800;"0.33";7;45
73;"Aditi";"Sarkar";"011.66.9373.885522";"02-04-1993";"SA_MAN";6200;"0.21";7;45
74;"Sundar";"Pichai";"011.53.8675.653987";"13-05-1998";"SA_MAN";4300;"0.23";7;45
75;"Manya";"Dutt";"011.42.8764.978653";"19-04-1992";"SA_MAN";15100;"0.27";7;45
76;"Aisha";"Shome";"011.56.7654.879345";"12-03-1991";"SA_MAN";4600;"0.21";7;45
77;"Justin";"Scot";"011.78.8754.756345";"13-06-1999";"SA_MAN";9800;"0.34";7;45
78;"Chen";"Woo";"011.67.6543.786543";"12-05-2000";"SA_MAN";5800;"0.16";7;45
79;"Karanveer";"Shekhawat";"011.45.8765.765432";"12-01-2000";"SA_MAN";6000;"0.18";7;45
80;"Sophie";"Turner";"011.55.8765.768457";"16-04-1976";"SA_MAN";5300;"0.17";7;45
81;"Hamza";"Sheikh";"765.875.8674";"13-11-1993";"SA_REP";4300;"";199;38
82;"Azhar";"Asim";"765.765.8765";"15-01-1999";"SA_REP";4300;"";199;38
83;"Mohit";"Makhija";"756.543.8764";"16-06-2000";"SA_REP";4300;"";199;38
84;"Gaurav";"Pandey";"850.657.7654";"23-04-1971";"SA_REP";25000;"";199;38
85;"Nandita";"Mondal";"543.876.6543";"15-11-1975";"SA_REP";18000;"";199;38
86;"Arnav";"Sharma";"430.765.7654";"14-01-1994";"SA_REP";5600;"";199;38
87;"Jesse";"Pinkman";"765.876.4365";"18-12-1999";"SA_REP";7800;"";199;38
88;"Asim";"Khan";"674.765.7643";"19-03-2001";"SA_REP";8000;"";199;38
89;"Ajay";"Nagar";"345.765.7632";"12-04-1999";"SA_REP";5900;"";199;38
90;"Simmy";"Jaiswal";"987.762.4832";"08-12-1999";"SA_REP";7600;"";199;38
91;"Tiffani";"Jacobs";"543.785.8675";"23-06-2000";"MK_MAN";9500;"";163;52
92;"Rohit";"Dhawan";"867.978.9865";"25-01-1989";"MK_MAN";17600;"";163;52
93;"Sakshi";"Reddy";"978.756.8674";"09-09-1997";"MK_MAN";20000;"";163;52
94;"Brec";"Bassigner";"967.876.9784";"08-04-1999";"HR_REP";9900;"";189;69
95;"Gopinath";"Ramgopalan";"432.643.8796";"05-09-1978";"HR_REP";13400;"";189;69
96;"Vaani";"Hasina";"456.756.9786";"30-05-1995";"PR_REP";5600;"";186;73
97;"Sunakshi";"Motwani";"870.912.9213";"11-05-1995";"PR_REP";8700;"";186;73
98;"Chris";"Hemsworth";"968.678.7683";"01-07-1992";"PR_REP";7800;"";186;73
99;"Alia";"Kohli";"234.876.6790";"30-11-1998";"PR_REP";6900;"";186;73
100;"Durga";"Singh";"987.876.7659";"15-02-1999";"AC_MGR";7800;"";122;88
101;"Atul";"Bhagnani";"645.987.7658";"19-11-1996";"AC_ACCOUNT";34000;"";125;89
102;"Ashok";"Mishra";"543.765.8765";"27-03-1979";"AD_ASST";19000;"";129;19
103;"Yaseer";"Khan";"798.234.9786";"19-12-1993";"MK_REP";9300;"";229;91
