"CUSTOMER_ID";"CUSTOMER_FNAME";"CUSTOMER_LNAME";"CUSTOMER_EMAIL";"CUSTOMER_PHONE";"ADDRESS_ID";"CUSTOMER_CREATION_DATE";"CUSTOMER_USERNAME";"CUSTOMER_GENDER"
1;"Jennifer";"Wilson";"jen_w@gmail.com";9776363306;909;"1991-06-01";"jen_w";"F"
2;"Jackson";"Davis";"dave_jack@gmail.com";9886363307;910;"2001-06-12";"dave_jack";"M"
3;"Komal";"Choudhary";"ch_komal@yahoo.co.IN";9178234526;911;"2002-06-26";"komalc";"F"
4;"Wilfred";"Jean";"w_jean@gmail.com";9196257439;912;"2006-01-12";"jeanw";"M"
6;"Anita";"Goswami";"agoswami@gmail.com";9873245623;914;"2006-03-13";"anitag";"F"
7;"Ashwathi";"Bhatt";"ash_bhat@yahoo.co.IN";9773636307;915;"2007-04-15";"abhatt";"F"
8;"Neetha";"Castelina";"neetha20@gmail.com";8196236362;916;"2011-08-16";"cneeta";"F"
9;"Devika";"Satish";"devika_sa@gmail.com";9780945716;917;"2011-09-01";"sdevika";"F"
10;"Bidhan";"C.Roy";"bidhanroy@yahoo.co.in";9886218583;918;"2011-10-23";"bcroy";"F"
11;"Vikas";"Jha";"vikas.jha@gmail.com";9008812436;919;"2011-11-15";"vjha";"M"
12;"Arul";"Kumar.T";"arulkumar@gmail.com";9902179894;920;"2011-12-03";"akumar";"M"
13;"Ravi";"Srinivasn";"r_srinivasn@yahoo.co.in";9945466015;921;"2012-01-05";"ravisri";"M"
14;"Avinash";"Dutta";"avinash.dutta@yahoo.co.in";9845100228;922;"2012-01-18";"avdutta";"M"
15;"Jyoti";"Sinha";"jyotisinha@gmail.com";9987795155;923;"2012-01-31";"jyo_s";"F"
16;"Vijay";"Bollineni";"vbollineni@gmail.com";7829012228;924;"2012-02-06";"vbolli";"M"
17;"Prasad";"Shetty";"pshetty@yahoo.co.in";9731497821;925;"2012-02-26";"shetty";"M"
18;"Suresh";"Babu";"sbabu@yahoo.co.in";9845969216;926;"2012-03-01";"babu_s";"M"
19;"Bharti";"Subhash";"bhartis@gmail.com";9886870414;927;"2012-03-28";"bha_subh";"F"
